date,weekdays,sleep_starts,sleep_ends,sleep_duration_min,light_sleep_min,rem_sleep_min,deep_sleep_min,readiness,sleep_score,activity_score,steps
10/10/19,Thursday,10:43:00 PM,5:40:00 AM,383,201,93,89,84,77,87,7819
10/11/19,Friday,11:14:00 PM,6:00:00 AM,359,203,51,104,79,69,87,7819
10/12/19,Saturday,11:24:00 PM,9:05:00 AM,519,316,114,89,87,84,86,10646
10/13/19,Sunday,11:43:00 PM,9:19:00 AM,506,315,111,79,83,81,87,9395
10/14/19,Monday,10:26:00 PM,5:44:00 AM,387,236,85,65,75,75,93,11411
10/15/19,Tuesday,10:12:00 PM,6:06:00 AM,433,240,87,105,81,79,83,7951
10/16/19,Wednesday,10:58:00 PM,5:45:00 AM,374,199,69,106,82,73,76,8319
10/17/19,Thursday,10:05:00 PM,5:52:00 AM,420,193,96,131,87,81,76,6540
10/18/19,Friday,10:19:00 PM,5:47:00 AM,409,197,115,96,83,78,76,8589
10/19/19,Saturday,10:55:00 PM,8:26:00 AM,494,281,130,83,89,86,69,6022
10/20/19,Sunday,11:50:00 PM,9:39:00 AM,520,301,117,101,85,83,70,6401
10/21/19,Monday,11:27:00 PM,5:49:00 AM,325,190,43,92,76,66,59,5604
10/22/19,Tuesday,11:55:00 PM,5:59:00 AM,290,128,67,95,74,66,63,7038
10/23/19,Wednesday,9:42:00 PM,5:46:00 AM,445,295,94,55,79,78,62,6429
10/24/19,Thursday,10:38:00 PM,5:56:00 AM,394,232,61,100,78,74,66,10090
10/25/19,Friday,10:22:00 PM,6:06:00 AM,404,204,62,137,81,77,74,9547
10/28/19,Monday,11:01:00 PM,5:49:00 AM,368,194,52,122,80,72,91,10789
10/29/19,Tuesday,10:57:00 PM,5:47:00 AM,376,199,80,96,75,77,89,6641
10/30/19,Wednesday,10:58:00 PM,5:59:00 AM,361,185,82,93,74,72,92,7359
10/31/19,Thursday,10:42:00 PM,5:47:00 AM,347,201,93,52,66,66,91,6695
11/1/19,Friday,9:17:00 PM,6:02:00 AM,427,260,79,88,73,75,92,7821
11/2/19,Saturday,11:34:00 PM,9:25:00 AM,501,293,113,95,80,83,88,8044
11/3/19,Sunday,10:50:00 PM,9:13:00 AM,516,360,110,46,58,79,93,9539
11/4/19,Monday,10:13:00 PM,5:49:00 AM,403,226,75,102,82,78,88,4758
11/6/19,Wednesday,10:23:00 PM,5:59:00 AM,350,193,55,102,72,71,93,7574
11/7/19,Thursday,9:59:00 PM,5:51:00 AM,385,191,59,134,75,68,82,7676
11/8/19,Friday,11:20:00 PM,9:17:00 AM,429,226,62,141,77,69,85,6441
11/10/19,Sunday,11:07:00 PM,10:16:00 AM,549,333,104,111,93,85,80,5370
11/11/19,Monday,10:50:00 PM,5:58:00 AM,371,231,40,99,82,68,82,7924
11/12/19,Tuesday,11:54:00 PM,5:52:00 AM,318,199,44,75,78,67,74,9112
11/13/19,Wednesday,9:39:00 PM,5:57:00 AM,423,233,95,95,84,81,68,6470
11/14/19,Thursday,10:21:00 PM,6:06:00 AM,402,251,85,65,81,73,67,6998
11/15/19,Friday,9:56:00 PM,5:54:00 AM,415,230,94,91,82,78,65,8849
11/16/19,Saturday,10:25:00 PM,7:50:00 AM,479,255,113,111,86,87,67,8720
11/17/19,Sunday,11:28:00 PM,8:38:00 AM,460,230,119,110,83,79,79,14288
11/18/19,Monday,10:47:00 PM,5:49:00 AM,384,236,63,80,79,73,81,7751
11/19/19,Tuesday,11:01:00 PM,5:48:00 AM,354,191,63,100,81,72,70,5459
11/20/19,Wednesday,11:09:00 PM,5:58:00 AM,358,201,54,103,79,70,69,7581
11/21/19,Thursday,11:43:00 PM,5:48:00 AM,330,171,51,108,74,68,77,7633
11/22/19,Friday,10:17:00 PM,6:06:00 AM,409,225,78,106,72,75,78,6879
11/23/19,Saturday,9:45:00 PM,8:10:00 AM,529,319,112,98,87,88,76,7088
11/24/19,Sunday,10:28:00 PM,8:56:00 AM,563,336,137,89,90,88,70,6692
11/25/19,Monday,10:30:00 PM,5:51:00 AM,392,194,84,114,85,79,75,9054
11/26/19,Tuesday,9:56:00 PM,5:51:00 AM,420,255,76,88,84,77,73,7343
11/27/19,Wednesday,10:49:00 PM,5:56:00 AM,360,178,73,108,82,73,71,6578
11/28/19,Thursday,7:29:00 PM,10:29:00 AM,673,408,189,76,85,84,61,8420
12/2/19,Monday,10:55:00 PM,5:45:00 AM,322,188,79,54,69,63,84,10214
12/3/19,Tuesday,11:37:00 PM,5:57:00 AM,298,149,46,102,65,66,84,7169
12/4/19,Wednesday,10:35:00 PM,5:57:00 AM,392,244,69,79,70,74,88,11079
12/5/19,Thursday,10:52:00 PM,5:54:00 AM,369,217,74,78,72,73,92,8174
12/6/19,Friday,10:21:00 PM,6:04:00 AM,398,232,72,93,68,75,94,9129
12/7/19,Saturday,11:50:00 PM,8:44:00 AM,464,327,108,29,61,69,92,14144
12/9/19,Monday,11:24:00 PM,5:49:00 AM,385,237,83,64,77,71,94,7164
12/10/19,Tuesday,9:48:00 PM,5:54:00 AM,435,248,93,94,82,81,87,9264
12/11/19,Wednesday,10:26:00 PM,6:07:00 AM,418,261,70,86,81,75,86,6242
12/13/19,Friday,11:33:00 PM,6:05:00 AM,355,169,66,120,81,73,76,7564
12/15/19,Sunday,10:58:00 PM,11:33:00 AM,621,364,158,99,89,76,83,9995
12/16/19,Monday,11:00:00 PM,5:55:00 AM,334,230,47,57,71,59,89,11201
12/17/19,Tuesday,10:22:00 PM,6:11:00 AM,428,240,69,119,87,79,79,7956
12/18/19,Wednesday,10:31:00 PM,5:49:00 AM,373,187,81,105,80,75,83,10592
12/19/19,Thursday,10:20:00 PM,5:57:00 AM,412,236,74,101,85,77,81,6478
12/20/19,Friday,11:09:00 PM,5:48:00 AM,354,211,74,68,78,69,81,7442
12/21/19,Saturday,11:28:00 PM,9:05:00 AM,494,280,102,112,87,82,73,5914
